name,resolved_id,candidate_name,match_type,score,status
ada,41156,ada,info_json,100,ok
airlines_2000,44528,airlines_2000,info_json,100,ok
company_bankruptcy,,,none,0,missing_VERIFY
hill-valley,1479,hill-valley,info_json,100,ok
house_16H,44123,house_16H,info_json,100,ok
ibm-employee-performance,43895,ibm-employee-performance,info_json,100,ok
INNHotelsGroup,,,none,0,missing_VERIFY
jasmine,45057,jasmine,exact,100,ok
law-school-admission,43889,law-school-admission,info_json,100,ok
longitudinal-survey,43892,longitudinal-survey,info_json,100,ok
online_shoppers,45060,online_shoppers,info_json,100,ok
ozone_level,301,ozone_level,info_json,100,ok
pc4,1049,pc4,info_json,100,ok
PhishingWebsites,4534,PhishingWebsites,info_json,100,ok
rice_cammeo_and_osmancik,,,none,0,missing_VERIFY
shill-bidding,42889,shill-bidding,info_json,100,ok
Shipping,45074,Shipping,info_json,100,ok
statlog,,,none,0,missing_VERIFY
allbp,40707,allbp,info_json,100,ok
ASP-POTASSCO,41705,ASP-POTASSCO,info_json,100,ok
autoUniv-au7-1100,1552,autoUniv-au7-1100,info_json,100,ok
eucalyptus,43925,eucalyptus,exact,100,ok
Gender_Gap_in_Spanish,,,none,0,missing_VERIFY
internet_firewall,46978,internet_firewall,exact,100,ok
jungle_chess_endgame,41027,jungle_chess_endgame,info_json,100,ok
microaggregation2,41671,microaggregation2,info_json,100,ok
okcupid_stem,45067,okcupid_stem,info_json,100,ok
thyroid,,,none,0,missing_VERIFY
waveform-v1,60,waveform-v1,info_json,100,ok
wine-quality-red,40691,wine-quality-red,info_json,100,ok
2dplanes,215,2dplanes,info_json,100,ok
Abalone_reg,,,none,0,missing_VERIFY
analcatdata_supreme,504,analcatdata_supreme,info_json,100,ok
BNG(echoMonths),1199,BNG(echoMonths),info_json,100,ok
BNG(mv),1213,BNG(mv),info_json,100,ok
compressive_strength,,,none,0,missing_VERIFY
cpu_act,197,cpu_act,info_json,100,ok
fifa,44026,fifa,info_json,100,ok
Goodreads-Computer-Book,43785,Goodreads-Computer-Book,info_json,100,ok
house_8L,218,house_8L,info_json,100,ok
IEEE80211aa-GATS,43180,IEEE80211aa-GATS,info_json,100,ok
Physicochemical_r,,,none,0,missing_VERIFY
pole,,,none,0,missing_VERIFY
qsar_aquatic_toxicity,46295,qsar_aquatic_toxicity,exact,100,ok
RSSI_Estimation,45720,RSSI_Estimation,info_json,100,ok
